Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
5.460,2.000,5.000,2.000,2.000,
5.470,2.000,5.000,2.000,2.000,
5.480,2.000,5.000,4.000,2.000,
5.490,2.000,5.000,4.000,2.000,
5.500,2.000,5.000,4.000,2.000,
5.510,2.000,5.000,4.000,2.000,
5.520,2.000,5.000,4.000,2.000,
5.530,2.000,5.000,4.000,2.000,
5.540,2.000,5.000,4.000,2.000,
5.550,2.000,5.000,4.000,4.000,
5.560,2.000,5.000,4.000,4.000,
5.570,2.000,5.000,4.000,4.000,
5.580,2.000,5.000,4.000,4.000,
5.590,4.000,5.000,4.000,4.000,
5.600,4.000,5.000,4.000,4.000,
5.610,4.000,5.000,4.000,4.000,
5.620,4.000,5.000,4.000,4.000,
5.630,4.000,7.000,4.000,4.000,
5.640,4.000,7.000,4.000,4.000,
5.650,4.000,7.000,4.000,4.000,
5.660,4.000,7.000,4.000,4.000,
5.670,4.000,7.000,4.000,4.000,
5.680,4.000,7.000,4.000,4.000,
5.690,4.000,1.000,4.000,4.000,
5.700,4.000,1.000,4.000,4.000,
5.710,4.000,1.000,4.000,4.000,
5.720,4.000,3.000,4.000,4.000,
5.730,4.000,3.000,4.000,4.000,
5.740,4.000,3.000,4.000,4.000,
5.750,4.000,3.000,4.000,4.000,
5.760,4.000,3.000,4.000,4.000,
5.770,4.000,3.000,4.000,4.000,
5.780,4.000,3.000,4.000,4.000,
5.790,4.000,3.000,4.000,4.000,
5.800,4.000,3.000,4.000,4.000,
5.810,4.000,3.000,4.000,4.000,
5.820,4.000,3.000,4.000,4.000,
5.830,4.000,3.000,4.000,4.000,
5.840,4.000,3.000,4.000,4.000,
5.850,4.000,3.000,4.000,4.000,
5.860,4.000,3.000,4.000,4.000,
5.870,4.000,3.000,4.000,4.000,
5.880,4.000,3.000,4.000,4.000,
5.890,4.000,3.000,4.000,4.000,
5.900,4.000,3.000,4.000,4.000,
5.910,4.000,3.000,4.000,4.000,
5.920,4.000,3.000,4.000,4.000,
5.930,4.000,3.000,4.000,4.000,
5.940,4.000,3.000,4.000,4.000,
5.950,4.000,3.000,4.000,4.000,
5.960,4.000,3.000,4.000,4.000,
5.970,4.000,3.000,4.000,4.000,
5.980,4.000,3.000,4.000,4.000,
5.990,4.000,3.000,4.000,4.000,
6.000,4.000,2.000,4.000,4.000,
6.010,4.000,2.000,4.000,4.000,
6.020,4.000,2.000,4.000,4.000,
6.030,4.000,2.000,4.000,4.000,
6.040,4.000,2.000,4.000,4.000,
6.050,4.000,2.000,4.000,4.000,
6.060,4.000,2.000,4.000,4.000,
6.070,4.000,2.000,4.000,4.000,
6.080,4.000,2.000,4.000,4.000,
6.090,4.000,2.000,4.000,4.000,
6.100,4.000,2.000,4.000,4.000,
6.110,4.000,2.000,4.000,4.000,
6.120,4.000,2.000,4.000,4.000,
6.130,4.000,2.000,4.000,4.000,
6.140,4.000,2.000,4.000,4.000,
6.150,4.000,2.000,4.000,4.000,
6.160,4.000,2.000,4.000,4.000,
6.170,4.000,2.000,4.000,4.000,
6.180,4.000,2.000,4.000,4.000,
6.190,4.000,2.000,4.000,4.000,
6.200,4.000,2.000,4.000,4.000,
6.210,4.000,2.000,4.000,4.000,
6.220,4.000,2.000,4.000,4.000,
6.230,4.000,2.000,4.000,4.000,
6.240,4.000,2.000,4.000,4.000,
6.250,4.000,2.000,4.000,4.000,
6.260,4.000,2.000,4.000,4.000,
6.270,4.000,2.000,4.000,4.000,
6.280,4.000,2.000,4.000,4.000,
6.290,4.000,2.000,4.000,4.000,
6.300,4.000,2.000,4.000,4.000,
6.310,4.000,2.000,4.000,4.000,
6.320,4.000,2.000,4.000,4.000,
6.330,4.000,2.000,4.000,4.000,
6.340,4.000,2.000,4.000,4.000,
6.350,4.000,2.000,4.000,4.000,
6.360,4.000,2.000,4.000,4.000,
6.370,4.000,2.000,4.000,4.000,
6.380,4.000,2.000,4.000,4.000,
